name,id,institution,longitude,latitude,keywords
ProtoGENI.kans.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.kans:port=ge-7/1/3:link=*,Internet2,,,
Shadownet.kans.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.kans:port=ge-7/1/3:link=*,Internet2,,,internet2 protogeni
obs-kans.net.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.kans:port=xe-1/0/3:link=obs,Internet2,,,
openflow.hous.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.hous:port=ge-9/0/4:link=openflow,Internet2,,,Internet2 Openflow
pwave.seat.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.seat:port=xe-2/2/0:link=*,,,,
phoebus01.hous.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.hous:port=ge-9/0/8:link=phoebus,Internet2,,,Internet2 Phoebus
phoebus00.hous.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.hous:port=ge-9/0/7:link=phoebus,Internet2,,,Internet2 Phoebus
phoebus01.kans.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.kans:port=ge-7/0/4:link=phoebus,Internet2,,,Internet2 Phoebus
phoebus00.kans.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.kans:port=ge-7/0/3:link=phoebus,Internet2,,,Internet2 Phoebus
MERIT.wash.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.wash:port=xe-0/0/2:link=*,Internet2,,,
MAX.wash.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.wash:port=xe-0/1/0:link=*,Internet2,,,
MAGPI.wash.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.wash:port=xe-1/0/3:link=*,Internet2,,,
obs-wash.net.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.wash:port=xe-1/1/2:link=obs,Internet2,,,
ProtoGENI.wash.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.wash:port=ge-7/1/3:link=*,Internet2,,,
Shadownet.wash.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.wash:port=ge-7/1/3:link=*,internet2,,,internet2 protogeni
mcnc.wash.ion.internet.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.wash:port=xe-1/1/0:link=*,Internet2,,,Internet2,  MCNC
openflow.wash.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.wash:port=ge-7/0/3:link=openflow,Internet2,,,Internet2 Openflow
phoebus01.wash.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.wash:port=ge-7/0/7:link=phoebus,Internet2,,,Internet2 Phoebus
phoebus00.wash.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.wash:port=ge-7/0/6:link=phoebus,Internet2,,,Internet2 Phoebus
ion-chic.es.net,urn:ogf:network:domain=es.net:node=chic-sdn2:port=xe-8/1/0:link=ion,ESnet,,,
